"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","0","10","50","0","2020","A","",132126,1909145,99675713076,15482725029,177055802,1004,52210,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2661,2.1,-80410,-4.0,2507023243,2.6,-275546557,-1.7,-17501048,-9.0,65,6.9,3371,6.9
"01000","1","10","51","0","2020","A","",1250,55888,4820416591,0,0,1659,86252,"",1.62,1.39,1.72,0.00,0.00,1.24,1.24,"",11,0.9,1832,3.4,239488772,5.2,0,0.0,0,0.0,29,1.8,1508,1.8
"01000","2","10","51","0","2020","A","",1365,97257,5625461557,377744,11616,1112,57841,"",1.55,1.54,1.66,0.00,0.09,1.08,1.08,"",-10,-0.7,-839,-0.9,196195117,3.6,202016,115.0,5836,101.0,48,4.5,2494,4.5
"01000","3","10","51","0","2020","A","",3703,208876,9632663201,129957999,1023160,887,46117,"",1.72,1.12,1.11,0.60,1.00,0.99,0.99,"",11,0.3,-6067,-2.8,329640548,3.5,-4078346,-3.0,-122213,-10.7,55,6.6,2836,6.6
"01000","5","10","51","0","2020","A","",125809,1547125,79597171727,15352389286,176021026,989,51448,"",0.98,0.96,0.94,1.01,1.00,0.98,0.98,"",2649,2.2,-75335,-4.6,1741698806,2.2,-271670227,-1.7,-17384671,-9.0,66,7.2,3462,7.2
"01000","8","10","96","0","2020","A","",6317,362020,20078541349,130335743,1034776,1067,55462,"",1.66,1.25,1.35,0.42,0.89,1.08,1.08,"",12,0.2,-5075,-1.4,765324437,4.0,-3876330,-2.9,-116377,-10.1,55,5.4,2851,5.4
"01001","0","10","70","0","2020","A","",910,10794,465745049,77812819,963619,830,43147,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",22,2.5,-313,-2.8,17666851,3.9,1053994,1.4,58078,6.4,54,7.0,2803,6.9
"01001","1","10","71","0","2020","A","",11,90,5105909,0,0,1088,56575,"",2.07,0.40,0.39,0.00,0.00,0.98,0.98,"",-1,-8.3,8,9.8,639330,14.3,0,0.0,0,0.0,45,4.3,2325,4.3
"01001","2","10","71","0","2020","A","",19,563,28429201,0,0,972,50518,"",3.13,1.58,1.80,0.00,0.00,1.14,1.14,"",0,0.0,-19,-3.3,2549991,9.9,0,0.0,0,0.0,116,13.6,6027,13.5
"01001","3","10","71","0","2020","A","",32,1859,77184261,140300,828,799,41529,"",2.16,1.76,1.90,0.13,0.15,1.08,1.08,"",0,0.0,-52,-2.7,3694831,5.0,-8570,-5.8,-50,-5.7,59,8.0,3071,8.0
"01001","5","10","71","0","2020","A","",848,8283,355025678,77672519,962791,824,42863,"",0.96,0.91,0.90,1.02,1.01,0.99,0.99,"",23,2.8,-249,-2.9,10782699,3.1,1062564,1.4,58128,6.4,48,6.2,2514,6.2
"01003","0","10","70","0","2020","A","",6686,73087,3023837650,637797833,6789014,796,41373,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",215,3.3,-3332,-4.4,97509109,3.3,-6250690,-1.0,-487785,-6.7,60,8.2,3080,8.0
"01003","1","10","71","0","2020","A","",34,399,23876786,0,0,1152,59879,"",0.87,0.26,0.28,0.00,0.00,1.08,1.08,"",-1,-2.9,38,10.5,2750258,13.0,0,0.0,0,0.0,26,2.3,1303,2.2
"01003","2","10","71","0","2020","A","",36,1154,48690445,0,0,812,42208,"",0.81,0.48,0.47,0.00,0.00,0.99,0.99,"",-2,-5.3,-25,-2.1,1265593,2.7,0,0.0,0,0.0,39,5.0,1995,5.0
"01003","3","10","71","0","2020","A","",90,8385,387115935,5966712,36642,888,46170,"",0.83,1.17,1.47,0.67,0.93,1.26,1.26,"",1,1.1,82,1.0,30016570,8.4,341740,6.1,343,0.9,61,7.4,3161,7.3
"01003","5","10","71","0","2020","A","",6526,63150,2564154484,631831121,6752372,781,40604,"",1.01,1.02,1.00,1.01,1.00,0.98,0.98,"",216,3.4,-3426,-5.1,63476688,2.5,-6592430,-1.0,-488128,-6.7,59,8.2,3043,8.1
"01005","0","10","70","0","2020","A","",566,7935,322206041,63811477,779334,781,40604,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,0.7,-304,-3.7,14259667,4.6,567250,0.9,-32972,-4.1,62,8.6,3228,8.6
"01005","1","10","71","0","2020","A","",9,62,3370454,0,0,1052,54730,"",2.72,0.37,0.37,0.00,0.00,1.01,1.01,"",1,12.5,8,14.8,278559,9.0,0,0.0,0,0.0,-51,-4.6,-2616,-4.6
"01005","2","10","71","0","2020","A","",18,605,28289187,0,0,899,46727,"",4.76,2.31,2.59,0.00,0.00,1.12,1.12,"",0,0.0,-4,-0.7,1592663,6.0,0,0.0,0,0.0,56,6.6,2884,6.6
"01005","3","10","71","0","2020","A","",31,956,36595889,764432,9562,736,38277,"",3.36,1.23,1.30,0.85,2.12,1.06,1.06,"",0,0.0,-24,-2.4,1554983,4.4,-21512,-2.7,-3113,-24.6,49,7.1,2533,7.1
"01005","5","10","71","0","2020","A","",508,6312,253950511,63047045,769772,774,40232,"",0.92,0.94,0.93,1.01,0.99,0.99,0.99,"",3,0.6,-284,-4.3,10833462,4.5,588762,0.9,-29859,-3.7,65,9.2,3374,9.2
"01007","0","10","70","0","2020","A","",370,4653,213928653,36917683,547806,884,45974,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",0,0.0,51,1.1,16105754,8.1,3169809,9.4,-29602,-5.1,57,6.9,2991,7.0
"01007","1","10","71","0","2020","A","",10,65,4349316,0,0,1282,66656,"",4.62,0.66,0.72,0.00,0.00,1.09,1.09,"",0,0.0,1,1.6,147523,3.5,0,0.0,0,0.0,24,1.9,1258,1.9
"01007","2","10","71","0","2020","A","",13,246,13553610,0,0,1059,55077,"",5.26,1.60,1.87,0.00,0.00,1.17,1.17,"",0,0.0,13,5.6,1500614,12.5,0,0.0,0,0.0,63,6.3,3310,6.4
"01007","3","10","71","0","2020","A","",31,952,35835172,525167,3099,724,37642,"",5.14,2.09,1.92,1.01,0.98,0.92,0.92,"",0,0.0,-20,-2.1,2912730,8.8,-25837,-4.7,-152,-4.7,72,11.0,3760,11.1
"01007","5","10","71","0","2020","A","",316,3390,160190555,36392516,544707,909,47255,"",0.88,0.86,0.88,1.01,1.00,1.02,1.02,"",-1,-0.3,56,1.7,11544887,7.8,3195646,9.6,-29450,-5.1,51,5.9,2665,6.0
"01009","0","10","70","0","2020","A","",805,8380,318718477,58829969,583141,731,38031,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",18,2.3,-332,-3.8,6351544,2.0,-550256,-0.9,-49285,-7.8,42,6.1,2178,6.1
"01009","1","10","71","0","2020","A","",10,92,4761438,0,0,997,51849,"",2.12,0.52,0.53,0.00,0.00,1.02,1.02,"",0,0.0,8,9.5,364597,8.3,0,0.0,0,0.0,-15,-1.5,-755,-1.4
"01009","2","10","71","0","2020","A","",11,161,6311305,0,0,755,39262,"",2.05,0.58,0.58,0.00,0.00,1.01,1.01,"",0,0.0,-2,-1.2,381871,6.4,0,0.0,0,0.0,54,7.7,2792,7.7
"01009","3","10","71","0","2020","A","",44,1775,67957330,980930,8220,736,38286,"",3.35,2.16,2.45,1.19,2.43,1.13,1.13,"",0,0.0,-65,-3.5,2836531,4.4,51204,5.5,-1183,-12.6,55,8.1,2894,8.2
"01009","5","10","71","0","2020","A","",740,6353,239688404,57849039,574921,726,37729,"",0.95,0.89,0.88,1.00,0.99,0.99,0.99,"",18,2.5,-273,-4.1,2768545,1.2,-601460,-1.0,-48102,-7.7,38,5.5,1974,5.5
"01011","0","10","70","0","2020","A","",183,2913,122583717,24085938,401643,809,42089,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,2.8,-37,-1.3,12557943,11.4,1488133,6.6,72943,22.2,92,12.8,4797,12.9
"01011","1","10","71","0","2020","A","",6,38,1957719,0,0,1004,52206,"",5.61,0.62,0.57,0.00,0.00,0.93,0.93,"",0,0.0,-1,-2.6,-106398,-5.2,0,0.0,0,0.0,-20,-2.0,-1062,-2.0
"01011","2","10","71","0","2020","A","",10,239,13304427,0,0,1070,55648,"",8.18,2.48,3.20,0.00,0.00,1.29,1.29,"",0,0.0,-4,-1.6,1540049,13.1,0,0.0,0,0.0,137,14.7,7135,14.7
"01011","3","10","71","0","2020","A","",14,319,12165679,457,3,734,38157,"",4.69,1.12,1.14,0.00,0.00,1.02,1.02,"",0,0.0,-33,-9.4,-376966,-3.0,457,100.0,3,100.0,49,7.2,2533,7.1
"01011","5","10","71","0","2020","A","",153,2317,95155892,24085481,401640,790,41067,"",0.86,0.94,0.91,1.02,1.01,0.97,0.97,"",4,2.7,0,0.0,11501258,13.7,1487676,6.6,72940,22.2,96,13.8,4964,13.7
"01013","0","10","70","0","2020","A","",489,6382,243963051,53735620,710274,735,38230,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3,0.6,-540,-7.8,-527071,-0.2,-3615508,-6.3,-102128,-12.6,56,8.2,2907,8.2
"01013","1","10","71","0","2020","A","",6,48,2246565,0,0,894,46481,"",2.10,0.36,0.33,0.00,0.00,0.91,0.91,"",0,0.0,5,11.6,281277,14.3,0,0.0,0,0.0,6,0.7,329,0.7
"01013","2","10","71","0","2020","A","",12,96,4718772,0,0,946,49197,"",3.67,0.46,0.57,0.00,0.00,1.25,1.25,"",0,0.0,-2,-2.0,324842,7.4,0,0.0,0,0.0,85,9.9,4437,9.9
"01013","3","10","71","0","2020","A","",23,719,27516935,209197,1234,736,38293,"",2.88,1.15,1.29,0.28,0.30,1.13,1.13,"",0,0.0,-50,-6.5,183531,0.7,6607,3.3,41,3.4,52,7.6,2749,7.7
"01013","5","10","71","0","2020","A","",448,5519,209480779,53526423,709040,730,37959,"",0.94,1.02,1.01,1.02,1.00,0.99,0.99,"",2,0.4,-493,-8.2,-1316721,-0.6,-3622115,-6.3,-102169,-12.6,56,8.3,2895,8.3
"01015","0","10","70","0","2020","A","",2555,42802,1862393982,296568220,3025841,837,43511,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,0.6,-1761,-4.0,18801358,1.0,-5531837,-1.8,-459615,-13.2,41,5.2,2140,5.2
"01015","1","10","71","0","2020","A","",47,4210,275811505,0,0,1260,65512,"",3.15,4.67,5.27,0.00,0.00,1.13,1.13,"",2,4.4,91,2.2,-5400132,-1.9,0,0.0,0,0.0,-53,-4.0,-2764,-4.0
"01015","2","10","71","0","2020","A","",26,1672,85503639,0,0,983,51139,"",1.52,1.18,1.35,0.00,0.00,1.14,1.14,"",-2,-7.1,-47,-2.7,3283066,4.0,0,0.0,0,0.0,63,6.8,3295,6.9
"01015","3","10","71","0","2020","A","",72,6131,268447197,1384643,13873,842,43789,"",1.73,1.46,1.65,0.33,0.79,1.13,1.13,"",1,1.4,-199,-3.1,9754934,3.8,84044,6.5,2998,27.6,56,7.1,2922,7.2
"01015","5","10","71","0","2020","A","",2410,30790,1232631641,295183577,3011968,770,40034,"",0.97,0.85,0.78,1.02,1.00,0.92,0.92,"",13,0.5,-1605,-5.0,11163490,0.9,-5615881,-1.9,-462613,-13.3,45,6.2,2329,6.2
"01017","0","10","70","0","2020","A","",633,8267,339821004,62804858,623038,791,41108,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,1.6,-213,-2.5,8645287,2.6,265856,0.4,-27961,-4.3,40,5.3,2055,5.3
"01017","1","10","71","0","2020","A","",6,58,2900409,0,0,958,49792,"",1.62,0.33,0.30,0.00,0.00,0.91,0.91,"",0,0.0,5,9.4,157802,5.8,0,0.0,0,0.0,-31,-3.1,-1632,-3.2
"01017","2","10","71","0","2020","A","",13,139,5662943,0,0,784,40765,"",3.07,0.51,0.49,0.00,0.00,0.96,0.97,"",-1,-7.1,-7,-4.8,106337,1.9,0,0.0,0,0.0,53,7.3,2728,7.2
"01017","3","10","71","0","2020","A","",58,1576,69363333,490683,3377,846,44003,"",5.62,1.94,2.34,0.56,0.94,1.20,1.20,"",1,1.8,-72,-4.4,665084,1.0,16292,3.4,580,20.7,44,5.5,2315,5.6
"01017","5","10","71","0","2020","A","",556,6493,261894319,62314175,619661,776,40334,"",0.90,0.93,0.91,1.01,1.00,0.98,0.98,"",10,1.8,-140,-2.1,7716064,3.0,249564,0.4,-28541,-4.4,39,5.3,2013,5.3
"01019","0","10","70","0","2020","A","",421,4956,180982942,38697931,478398,702,36520,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,2.2,-262,-5.0,-2815792,-1.5,-536446,-1.4,-75904,-13.7,25,3.7,1294,3.7
"01019","1","10","71","0","2020","A","",9,54,2386005,0,0,854,44391,"",3.66,0.52,0.47,0.00,0.00,0.91,0.91,"",0,0.0,7,14.9,162221,7.3,0,0.0,0,0.0,-56,-6.2,-2924,-6.2
"01019","2","10","71","0","2020","A","",11,83,3820465,0,0,881,45800,"",3.91,0.51,0.62,0.00,0.00,1.22,1.22,"",0,0.0,-6,-6.7,88566,2.4,0,0.0,0,0.0,78,9.7,4025,9.6
"01019","3","10","71","0","2020","A","",24,1121,43904770,516247,6670,753,39154,"",3.50,2.31,2.78,0.95,2.41,1.21,1.21,"",0,0.0,-47,-4.0,1717764,4.1,-21447,-4.0,373,5.9,59,8.5,3048,8.4
"01019","5","10","71","0","2020","A","",377,3697,130871702,38181684,471728,681,35397,"",0.92,0.88,0.85,1.01,0.99,0.97,0.97,"",8,2.2,-216,-5.5,-4784343,-3.5,-514999,-1.3,-76277,-13.9,14,2.1,729,2.1
"01021","0","10","70","0","2020","A","",832,9007,370463328,70255881,736313,791,41132,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",14,1.7,-544,-5.7,-2873730,-0.8,-1550724,-2.2,-34332,-4.5,39,5.2,2044,5.2
"01021","1","10","71","0","2020","A","",7,69,3191063,0,0,888,46192,"",1.44,0.36,0.31,0.00,0.00,0.84,0.84,"",0,0.0,4,6.2,191557,6.4,0,0.0,0,0.0,3,0.3,164,0.4
"01021","2","10","71","0","2020","A","",14,251,12025786,0,0,923,48007,"",2.52,0.84,0.96,0.00,0.00,1.14,1.14,"",0,0.0,0,0.0,850752,7.6,0,0.0,0,0.0,66,7.7,3441,7.7
"01021","3","10","71","0","2020","A","",36,1487,57534782,1936409,11795,744,38698,"",2.65,1.68,1.78,1.96,2.77,1.06,1.06,"",1,2.9,-54,-3.5,1385700,2.5,-31812,-1.6,-187,-1.6,43,6.1,2255,6.2
"01021","5","10","71","0","2020","A","",775,7200,297711697,68319472,724518,795,41346,"",0.96,0.94,0.94,0.99,0.99,1.00,1.00,"",12,1.6,-495,-6.4,-5301739,-1.7,-1518912,-2.2,-34145,-4.5,38,5.0,1965,5.0
"01023","0","10","70","0","2020","A","",328,3514,190415952,29534894,298755,1042,54183,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,1.2,-139,-3.8,184088,0.1,-2255626,-7.1,-271773,-47.6,40,4.0,2102,4.0
"01023","1","10","71","0","2020","A","",8,32,1314347,0,0,794,41288,"",4.17,0.43,0.25,0.00,0.00,0.57,0.57,"",0,0.0,5,18.5,136957,11.6,0,0.0,0,0.0,-50,-5.9,-2590,-5.9
"01023","2","10","71","0","2020","A","",11,66,2105528,0,0,617,32064,"",5.02,0.57,0.33,0.00,0.00,0.58,0.58,"",0,0.0,-4,-5.7,51644,2.5,0,0.0,0,0.0,54,9.6,2792,9.5
"01023","3","10","71","0","2020","A","",23,349,12650201,269318,2530,697,36230,"",4.30,1.01,0.76,0.65,1.46,0.75,0.75,"",0,0.0,-15,-4.1,212646,1.7,6103,2.3,978,63.0,39,5.9,2030,5.9
"01023","5","10","71","0","2020","A","",286,3068,174345876,29265576,296225,1093,56833,"",0.90,1.03,1.08,1.01,1.00,1.04,1.05,"",4,1.4,-124,-3.9,-217159,-0.1,-2261729,-7.2,-272751,-47.9,41,3.9,2144,3.9
"01025","0","10","70","0","2020","A","",676,7841,338460166,61106216,651176,830,43166,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",16,2.4,-126,-1.6,7727398,2.3,1419428,2.4,-22003,-3.3,32,4.0,1655,4.0
"01025","1","10","71","0","2020","A","",13,75,4122458,0,0,1059,55089,"",3.29,0.45,0.43,0.00,0.00,0.96,0.96,"",-1,-7.1,3,4.2,-38983,-0.9,0,0.0,0,0.0,-56,-5.0,-2910,-5.0
"01025","2","10","71","0","2020","A","",16,326,15967957,0,0,943,49032,"",3.54,1.26,1.39,0.00,0.00,1.11,1.11,"",0,0.0,-25,-7.1,-543633,-3.3,0,0.0,0,0.0,38,4.2,1968,4.2
"01025","3","10","71","0","2020","A","",36,1259,48336058,2145784,15948,738,38390,"",3.27,1.64,1.64,2.50,4.23,1.00,1.00,"",1,2.9,-62,-4.7,2387572,5.2,797504,59.1,3515,28.3,69,10.3,3598,10.3
"01025","5","10","71","0","2020","A","",610,6181,270033693,58960432,635228,840,43686,"",0.93,0.93,0.94,0.98,0.98,1.01,1.01,"",15,2.5,-43,-0.7,5922442,2.2,621924,1.1,-25518,-3.9,24,2.9,1253,3.0
"01027","0","10","70","0","2020","A","",221,4251,161421190,34164598,353628,730,37977,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,0.9,-46,-1.1,8607860,5.6,304113,0.9,15067,4.5,46,6.7,2412,6.8
"01027","1","10","71","0","2020","A","",6,49,2679588,0,0,1053,54779,"",4.64,0.55,0.59,0.00,0.00,1.08,1.08,"",0,0.0,-1,-2.0,-138907,-4.9,0,0.0,0,0.0,-35,-3.2,-1779,-3.1
"01027","2","10","71","0","2020","A","",10,57,2109421,0,0,715,37170,"",6.77,0.41,0.39,0.00,0.00,0.95,0.95,"",0,0.0,4,7.5,219716,11.6,0,0.0,0,0.0,23,3.3,1176,3.3
"01027","3","10","71","0","2020","A","",17,805,28795318,591238,6434,688,35785,"",4.72,1.93,2.05,1.23,3.14,1.06,1.06,"",0,0.0,-44,-5.2,2013427,7.5,-55691,-8.6,-1318,-17.0,81,13.3,4243,13.5
